mobileauszhGen19,mobileauszhGen20,mobileauszhGen31,mobileauszhGen34,mobileauszhGen53,mobileauszhGen58,mobileauszhGen60,mobileauszhGen64,mobileauszhGen66,mobileauszhGen75,mobileauszhGen77,mobileauszhGen89,mobileauszhPho21,mobileauszhVid93,mobilewspzhBlo40,mobilewspzhBlo56,mobilewspzhBlo90,mobilewspzhGam94,mobilewspzhGen19,mobilewspzhGen20,mobilewspzhGen25,mobilewspzhGen31,mobilewspzhGen34,mobilewspzhGen36,mobilewspzhGen39,mobilewspzhGen47,mobilewspzhGen53,mobilewspzhGen58,mobilewspzhGen60,mobilewspzhGen64,mobilewspzhGen66,mobilewspzhGen75,mobilewspzhGen77,mobilewspzhGen83,mobilewspzhGen89,mobilewspzhLif30,mobilewspzhLif38,mobilewspzhLif55,mobilewspzhLif69,mobilewspzhPho03,mobilewspzhPho21,mobilewspzhPho33,mobilewspzhVid93,mobilewuszhBlo40,mobilewuszhBlo56,mobilewuszhBlo90,mobilewuszhGam94,mobilewuszhGen19,mobilewuszhGen20,mobilewuszhGen25,mobilewuszhGen31,mobilewuszhGen34,mobilewuszhGen36,mobilewuszhGen39,mobilewuszhGen47,mobilewuszhGen53,mobilewuszhGen58,mobilewuszhGen60,mobilewuszhGen64,mobilewuszhGen66,mobilewuszhGen75,mobilewuszhGen77,mobilewuszhGen83,mobilewuszhGen89,mobilewuszhLif30,mobilewuszhLif38,mobilewuszhLif55,mobilewuszhLif69,mobilewuszhPho03,mobilewuszhPho21,mobilewuszhPho33,mobilewuszhVid93
11.30401021,0.569373386,1.321129464,4.515391981,1.091687231,1.564725751,1.742185095,1.576639497,2.105608439,4.1307149,8.178627511,4.174383483,0.840692872,23.2516656,1.296136148,0.963970046,0.543564561,0.797136794,8.83241407,1.015790365,0.838561747,1.307798248,3.69960511,1.744038531,0.717116179,1.06996965,1.777404278,1.080676483,4.778431085,8.021010423,1.489502978,3.338693062,4.306408553,0.918675266,2.99758917,0.700003139,0.780342137,0.587950256,1.123662682,0.570700028,1.5601719,1.167382131,8.352510259,0.777016232,3.159999921,8.417252895,4.818719716,380.4769939,10.00238578,8.11369743,25.4396699,252.6368157,20.08647896,3.769246129,8.315658007,36.64636525,13.62389357,28.90124823,29.18426445,104.7337145,81.3502499,145.0027123,9.944631243,105.3483436,1.104743345,1.409382156,1.720714546,10.01896175,1.714535728,21.75986968,5.122887678,599.4820179
11.64852317,0.466497361,1.950271154,4.457000861,0.880538325,1.6972742,1.613074602,1.412993927,2.202453805,3.895513396,7.233979703,4.469168275,0.716578836,23.06070651,1.421276119,0.786468697,0.724112807,0.722175549,11.45907699,1.0320087,0.755793951,1.1604911,3.749836832,1.54378847,0.78687252,1.014185534,1.786593024,0.817564226,3.209393969,7.054854523,1.372056788,2.838003599,5.049951148,0.801554006,2.790618792,0.614068067,0.774520632,0.871432006,0.964701596,0.573076373,1.429473259,1.612914337,7.843831689,0.796763388,3.180234382,8.606596541,4.764703404,369.8492224,10.28837081,7.782797043,24.65760495,246.1803106,20.17876489,3.579624896,8.309436936,39.09623729,12.8368748,28.24432809,29.62665841,105.7651327,78.76685893,145.0928614,10.4841892,105.3107408,1.338071761,1.141879637,1.499389645,11.04194058,1.540960685,21.81821918,5.075276182,591.9162274
11.9665081,0.467126462,1.762878592,4.21340174,1.00286125,1.703534441,1.860643466,1.662143606,2.012770023,4.056608667,7.227787041,4.276571492,0.850018547,22.50421213,1.54706671,0.652252894,0.778475278,0.592329491,9.13223825,1.032208349,1.224825554,1.249346106,3.589941694,1.496822061,0.623701681,0.839327695,1.646032363,0.996362278,2.872028385,5.914449068,1.439522423,3.116878588,5.047872557,0.749840198,2.618225562,0.732386783,1.032651339,0.677509212,0.903521181,0.491127728,1.439698449,1.208556865,7.84307684,0.660518281,3.269157951,8.665073859,4.662338248,367.2199612,10.60855527,8.295270309,26.66543218,254.8456525,21.27924809,4.415027589,8.241791121,38.18578789,15.1436418,27.55681701,29.92056492,115.8863695,81.83696977,147.5757861,9.929758583,101.4307693,1.230371496,1.131999918,1.544419111,11.43544591,1.442954379,22.53769866,5.212127549,613.7928179
15.09200241,0.373720792,1.416990654,4.571644169,0.949028046,1.318845764,1.751631551,1.436459694,1.864902715,4.458171187,6.389251381,3.893442932,1.016115973,22.54890565,0.994969367,0.581073813,0.595970148,0.506166637,8.881634272,0.838941605,0.879372815,1.208136697,3.383744504,1.156493654,0.669789466,0.844387297,1.72461565,0.711756131,2.955383277,5.702533032,1.69053674,3.142524018,5.73134532,0.649381475,3.043965239,0.48432733,0.75611839,0.554507516,1.069058305,0.31975583,1.139894722,1.230717294,7.296365677,0.860861352,3.08487248,8.302686178,4.529806393,362.3386295,10.79690198,9.702876751,25.44429118,253.8503582,19.36405212,3.616664442,7.35607881,37.97618659,13.30640022,26.58019734,29.0808508,109.7627434,86.20127485,145.2536937,10.08910507,100.8262837,1.149030749,1.065848992,1.184313449,11.80279579,1.313727441,24.31415739,4.903117123,608.4122654
14.18736701,0.30072533,1.164080673,4.522103816,0.830503304,1.579765285,2.153605083,1.334995027,1.735380458,4.847286618,6.717634411,3.763117805,0.969325347,21.37399228,1.250870214,0.925044689,0.736549425,0.482657531,8.161902006,0.690323133,0.811259268,1.115596823,3.551601159,1.478149951,0.567354323,0.751516556,1.502424293,0.835162512,2.440947297,6.179524171,1.603158631,3.202486027,5.635171039,0.655869529,3.005138542,0.486688398,0.713660823,0.671846898,1.048900928,0.28730726,1.076083299,0.977964105,8.124515203,0.662324867,3.055658029,8.100483137,4.497764729,362.6931325,12.36382871,8.791955243,24.60259492,249.3845208,20.77738801,3.416747208,7.263192357,36.31418397,15.02361873,27.61288398,29.53864279,110.6018883,83.73070479,153.3733303,9.680617811,103.6962336,1.00704432,0.998998903,1.339599957,11.10036301,1.639124136,23.83877865,4.520705253,592.4486396
13.30975994,0.477176447,1.316488782,4.994380339,0.713284123,1.377618744,1.790958972,1.776142386,1.72427294,4.176124821,7.929925195,3.945023671,0.999832442,20.3157043,1.008662317,1.048318297,0.643754911,0.489713635,8.459792823,0.844413057,0.734587155,1.037281082,3.205655878,1.371450853,0.563698448,0.747060792,1.385972161,0.692202048,2.721235699,5.797465423,1.418336966,3.372967753,5.623444601,0.624654631,3.199179223,0.46516218,0.590271053,0.525813561,1.107754767,0.295788191,1.352641601,1.148750425,6.922179261,0.814888684,2.825568436,9.429249743,4.701919423,376.2919193,11.14327193,8.752973776,24.37970968,249.5225547,20.56560808,3.572888937,7.186542733,36.65097278,13.11750536,26.35315921,28.0036482,107.1570795,98.96429941,162.7569953,10.68927112,101.277309,1.122447063,1.340878569,1.114420527,11.74705046,2.006831275,23.67596545,4.065551322,609.3615384
12.56576955,0.566589947,1.164067003,5.195314579,0.70206576,1.699286809,1.834776496,1.561028271,1.911318208,4.470922527,7.068926524,4.084423178,0.986251334,20.09489435,0.920491035,0.9398554,0.648294459,0.498214946,7.407666028,0.730584941,0.724535278,0.905146974,3.764743734,1.227431047,0.66603991,0.850047572,1.262972949,0.697869439,2.106575593,4.714018646,1.471458795,2.96650912,5.248296156,0.76280865,2.696176239,0.647443141,0.609369992,0.513834599,1.128339373,0.304269122,1.10988322,1.017767626,7.377981518,0.597120709,3.908875349,9.146324214,4.360158055,376.6498696,10.93726872,7.398485002,24.23707999,242.7100172,22.40354594,3.679612955,9.100559538,36.76819113,15.12767394,26.68076715,27.02389338,117.0778708,96.770964,161.5836106,10.22302013,103.9214006,1.024676933,1.070522877,1.242138701,11.85957847,1.772694016,22.867241,4.515445481,597.7725961
12.07574728,0.474302213,1.151480429,5.800906286,0.636961182,2.188758939,1.6401565,2.245684872,1.677595915,4.771885449,6.458779063,3.867183785,0.838411839,19.16071982,1.115809137,1.241042809,0.96556708,0.467568097,7.978566014,0.68254304,0.685171866,1.216238464,3.309148034,1.546617875,0.551757125,0.697261946,1.540786487,0.679649543,1.543208465,5.13385744,1.519760252,2.955563575,4.803310453,0.687266978,2.511107857,0.693174034,0.570037395,0.491223058,1.112539799,0.312750053,1.007616352,0.942686011,7.821343665,0.772717269,3.737569413,8.89633191,4.227059632,368.3840747,10.35350669,7.613937102,24.39818941,246.3717015,22.38555715,4.077036448,8.504098051,38.18816114,14.20901225,24.74190111,27.91703393,130.5970275,93.58318722,155.1409338,10.64858303,98.00886477,1.194718854,1.18215287,1.016274626,11.55040626,1.826711641,22.32487315,4.627834133,589.8059278
12.40929207,0.441415442,1.139256213,5.813176689,0.979971674,1.628736256,1.656239274,1.890613687,2.737800067,5.1601874,6.882235722,3.746176979,0.806393827,20.52601765,0.879323952,1.102298479,1.441011063,0.477850749,6.995256997,0.791792268,1.193836304,1.552852715,3.712203283,1.578215628,0.501815348,0.649746828,1.628804099,0.865236826,1.499441345,4.948751869,1.767591854,3.021739631,4.391137362,0.852236839,2.756787715,0.767165977,0.535376553,0.425089593,0.997420811,0.321230984,1.090047121,0.788832296,7.526367859,1.123051627,3.701522721,8.829363249,4.499776527,367.5507527,10.35317546,8.034847011,25.22701508,239.6023428,21.02345532,3.626143184,8.245517681,35.52658448,13.31806546,24.67098145,30.06462809,132.5061956,95.25073336,151.0875267,10.46871723,97.38518807,1.344572337,1.364329048,0.983194456,11.0185272,1.901303913,22.89480141,5.398283399,582.6550121
14.0503397,0.429780073,1.160190462,5.382293267,0.776028829,1.430050972,1.718442641,1.827073756,2.057148041,5.328506143,7.005680344,4.039381758,0.74900518,23.01017044,0.732372622,1.298173196,1.20280682,0.488133401,7.156221548,0.850559619,0.821180688,1.233736352,3.991068747,1.502749599,0.480725284,0.631083424,1.734195652,0.746686466,1.722478709,5.159604173,1.687984782,3.170945851,4.392137674,0.749058514,3.284953342,0.606785532,0.463348894,0.430450839,1.13659088,0.329711916,0.989182832,0.781908901,7.819449442,1.19620383,3.392719145,9.241020566,4.701422606,364.6531686,10.56076499,7.57958357,23.60164908,240.4765756,20.97907639,4.321014554,8.335995123,36.4604002,12.70864037,28.141235,28.7222524,129.4416949,99.46905306,163.0098547,11.12359723,94.89850407,1.13702984,1.551122347,0.928008341,10.93890276,2.043595789,25.21398273,4.879371618,590.565661
