mobileauszhGen19,mobileauszhGen20,mobileauszhGen31,mobileauszhGen34,mobileauszhGen53,mobileauszhGen58,mobileauszhGen60,mobileauszhGen64,mobileauszhGen66,mobileauszhGen75,mobileauszhGen77,mobileauszhGen89,mobileauszhPho21,mobileauszhVid93,mobilewspzhBlo40,mobilewspzhBlo56,mobilewspzhBlo90,mobilewspzhGam94,mobilewspzhGen19,mobilewspzhGen20,mobilewspzhGen25,mobilewspzhGen31,mobilewspzhGen34,mobilewspzhGen36,mobilewspzhGen39,mobilewspzhGen47,mobilewspzhGen53,mobilewspzhGen58,mobilewspzhGen60,mobilewspzhGen64,mobilewspzhGen66,mobilewspzhGen75,mobilewspzhGen77,mobilewspzhGen83,mobilewspzhGen89,mobilewspzhLif30,mobilewspzhLif38,mobilewspzhLif55,mobilewspzhLif69,mobilewspzhPho03,mobilewspzhPho21,mobilewspzhPho33,mobilewspzhVid93,mobilewuszhBlo40,mobilewuszhBlo56,mobilewuszhBlo90,mobilewuszhGam94,mobilewuszhGen19,mobilewuszhGen20,mobilewuszhGen25,mobilewuszhGen31,mobilewuszhGen34,mobilewuszhGen36,mobilewuszhGen39,mobilewuszhGen47,mobilewuszhGen53,mobilewuszhGen58,mobilewuszhGen60,mobilewuszhGen64,mobilewuszhGen66,mobilewuszhGen75,mobilewuszhGen77,mobilewuszhGen83,mobilewuszhGen89,mobilewuszhLif30,mobilewuszhLif38,mobilewuszhLif55,mobilewuszhLif69,mobilewuszhPho03,mobilewuszhPho21,mobilewuszhPho33,mobilewuszhVid93
12.92330196,0.691752311,0.964356668,4.949983505,1.239245659,1.342096713,1.099636869,1.354128797,2.585359935,4.517856226,7.849438066,2.883793938,0.571635589,26.15767065,0.939793925,0.996868894,0.754482582,0.640493201,9.651487481,0.992731057,0.787248176,1.401401847,5.17455576,1.308849481,0.683476714,0.22978217,2.123380581,1.320041258,1.586378433,10.04354141,2.248775123,3.317370814,5.11327336,0.99735511,3.265339599,0.56076897,0.497527424,0.511318687,0.985575698,0.481148726,1.099541233,0.338978952,9.836145828,0.832495131,2.854845085,9.003671762,4.151970778,393.9971194,9.77164095,7.135965541,26.89227719,283.5875759,25.03364803,2.455876656,8.121887572,47.73437461,15.36978014,23.91980366,29.98773581,126.7690686,90.18530504,183.2278231,9.800518652,94.43617335,1.909552023,1.026377759,2.184509214,11.55994906,2.539865491,23.58240417,4.953734709,677.9460803
13.77592479,0.492098931,1.066388699,5.342532944,1.195133144,1.634122906,1.261452604,1.190464332,2.643675735,4.597089161,7.86973543,2.278556915,0.664189531,25.4474656,0.873754157,0.737372534,0.581848007,0.632181059,9.686568576,0.880121752,0.539701359,1.453622782,5.018132505,1.312201121,0.650745686,0.245820553,2.004866054,1.249243666,1.833031749,9.281264551,1.820212995,3.277005939,5.125869091,1.134574226,3.464005463,0.565532795,0.770211747,0.570467785,0.727841667,0.610123109,2.279707461,0.468500576,9.691748289,0.907048972,3.227819472,9.051182678,3.618748236,400.1764707,10.29463229,7.914136341,26.96747619,269.3204158,23.85818567,2.674698292,9.252390932,49.83856462,16.58239805,34.67919426,26.69993767,129.1154677,92.14706148,184.9271087,10.41973344,93.60038119,1.969765285,0.93972171,1.601811552,9.899119237,1.607746665,24.06815784,4.376225982,681.5972128
14.82879493,0.485706543,1.01878094,5.306182688,1.447740876,1.240598719,0.929858654,0.987457908,2.470498241,4.50591566,7.997169146,3.338639735,0.371901468,28.69511693,0.815699572,0.655854434,0.937244558,0.608272564,9.736264201,0.833395116,0.83159544,1.45734159,4.770642074,1.447564216,0.643190249,0.569159517,2.004558842,1.348525414,1.732609842,8.783027413,1.840456098,3.532412278,5.16500691,1.336877521,3.692215779,0.746087377,0.786728556,0.319849268,1.388121164,0.387337702,0.982369448,0.311543878,9.997116895,0.805522983,3.63779953,11.3668823,3.430734925,407.0537881,10.69939437,13.58490421,27.60602841,294.2344391,20.24717801,1.365393793,9.833822136,47.99074109,16.02110013,26.17292253,30.21667959,131.967406,90.74382401,189.5354021,11.40775598,96.13465094,1.924833959,0.645992489,1.082866845,11.99034881,1.577767491,23.27813468,5.200232912,716.3474991
11.56886505,0.526011223,0.839459128,4.776715107,1.250164928,1.599769341,1.164106376,1.174005261,2.566704457,4.683585152,7.738616669,3.959249205,0.51200746,21.31681585,0.95842208,1.020683611,0.552245077,0.59519216,9.864535731,1.052602565,0.652996046,1.265752759,4.831209726,1.615737793,0.54736427,0.986701354,2.300075032,1.151608494,1.590030609,9.200326925,2.135148596,1.851542244,5.190656691,0.726414868,3.738233397,0.448297416,0.905710188,0.405914134,0.742665953,0.539484148,1.236310434,0.665997657,9.932996631,0.73835982,2.895225487,8.362143872,4.278122571,382.630559,9.852867036,5.315375328,25.01071954,270.1095607,24.33751764,3.5449507,10.26589345,46.51205078,16.3506294,29.11340286,29.41147919,115.2034162,84.59889712,180.4187716,10.81055883,96.54774313,1.686863693,1.452371714,0.310626838,9.021891636,2.384755965,22.4393767,4.90485237,596.873686
11.3745145,0.640773457,0.896760041,4.936374539,1.253852978,1.602343153,1.354290298,1.279189296,2.09160644,4.606370749,6.562731498,4.302521208,0.633500097,26.73373041,0.86994036,0.946437606,0.732897485,0.631967406,9.723235381,0.916905358,0.674667783,1.311111472,5.088186622,1.606248598,0.590929215,0.57714415,2.387177374,1.325410517,1.62101471,8.729173407,2.083663179,3.014217768,5.148160103,0.867529534,3.458963833,0.367180052,0.932699501,0.394005689,1.117533961,0.38155446,1.157550796,0.685665977,9.800105677,0.761186257,2.619009585,9.729746756,3.532298256,383.4014776,10.06959242,4.725880789,25.60547783,252.9714804,22.27419688,2.392480275,11.80252759,47.49754377,16.26679515,33.86109549,29.7460613,124.3682717,84.67484022,180.9627271,10.54308328,90.63559076,1.773257133,1.147993205,0.759910136,10.1585922,2.339187546,23.39809383,4.018301971,607.5077183
11.86029395,0.527774367,1.272887922,5.565409023,1.23024381,1.488659753,1.223259274,1.201357587,2.578011198,4.31555305,7.904118354,3.998983932,0.612428266,24.46831205,1.042834368,0.809908793,0.651866068,0.637067006,9.712384582,0.813618328,0.97568671,1.352954597,5.238511365,1.435355659,0.524434989,0.169149374,2.177098967,1.25072861,1.3560573,8.565754277,2.243835297,3.862311313,5.113380217,0.642181671,3.099892791,0.48188469,0.913015835,0.26957743,0.939226946,0.298684797,1.750391518,0.464511639,9.915797415,0.75059777,2.528765424,8.754120417,3.479679055,397.712412,9.643468187,6.761155595,25.58324738,258.1596044,20.0497897,3.205420272,8.525541374,45.33195903,16.25342487,28.48130441,30.13709125,126.3940556,88.26014157,177.7058982,10.66080044,92.61197053,1.616975572,0.944105813,1.401023725,10.67016169,2.186072812,23.30422732,4.656899944,641.1902385
12.40441205,0.567935417,0.682265679,5.536011937,1.515702718,1.602648863,1.534412957,1.402372664,2.155664674,4.491532174,7.755342235,3.264251277,0.595138142,22.00560489,0.871558242,0.952819617,0.71993232,0.526880964,9.794799308,0.955999282,0.678038895,1.636839938,5.033920893,1.407475989,0.591885132,0.735245277,2.135752107,1.218981894,1.581777143,8.994612864,2.062322165,3.193529593,5.270104332,0.829555274,2.792748955,0.6055138,1.01415955,0.388660313,0.978146834,0.550658261,1.428312021,0.319973868,10.0346016,0.769804955,2.969173981,10.34074586,4.556085029,396.0649603,10.46209106,6.41656147,26.54951071,274.9312577,19.30908402,2.741145801,7.812762017,46.31547042,16.94743319,39.8175372,28.39901136,140.7479349,88.50969262,172.8679355,11.29225459,93.55041138,1.864604351,1.198698795,2.387243921,11.560619,2.127417335,24.20399935,4.490008883,650.0734095
12.71984973,0.657700205,1.653936329,5.240890829,1.459991857,1.613061298,1.268820611,1.374336847,2.764304214,4.8784763,8.743227475,3.915529472,0.557432962,22.84012049,0.809698195,0.934422749,0.899530385,0.511042972,9.872940797,0.781833699,0.635210422,1.241198545,4.838559409,1.521836256,0.634008646,0.697857708,2.07890581,1.396585087,1.750728163,9.485976133,1.974498236,2.099272942,5.242185211,0.882179252,2.617399265,0.584189585,1.072626494,0.267234596,0.955387011,0.360126262,1.431280448,0.160641953,10.15352008,0.811693352,3.085509627,8.805765407,3.529375973,393.4434576,10.35529238,7.43531335,26.43105266,272.5375432,18.61707438,2.829343921,8.235432238,49.36462495,15.92499775,26.62581452,29.95732892,149.7301834,90.52376357,175.6122311,10.67962014,93.41491441,1.981265186,0.887495251,1.706937984,11.32782469,2.180142987,23.34553922,4.632617662,674.7145042
13.26992088,0.518937235,2.06847797,5.400295752,1.304977215,1.251340805,1.592114003,1.217421467,2.636297002,4.807808495,7.960952779,3.4490024,0.593040626,24.25964745,0.889999207,0.662195183,0.579041175,0.592316211,9.808391927,0.754702556,0.882710742,1.594309974,4.900567661,1.296097243,0.630041122,0.574816671,1.9764074,1.355834288,1.93860182,9.516439906,2.004501724,2.570710774,5.270217611,0.924452888,2.601618728,0.655489452,0.851717394,0.344043469,0.724927644,0.447903568,1.423053383,0.391390867,10.27096999,0.814202705,3.527154293,9.782583867,4.459399807,409.0364165,10.03520328,10.09145384,27.26779313,300.771602,17.82877184,2.112093632,6.999259923,49.01437438,15.81060981,22.6238734,28.33708162,152.3971304,91.39571259,180.3352947,10.65092792,89.32695418,1.839522903,1.006301365,1.601509401,12.9901632,2.001973571,23.40061021,4.618752054,686.1231899
14.24671016,0.449294341,1.967013636,5.95931135,1.197283998,1.570872144,0.78589498,1.097821186,2.306554464,4.824178653,7.843427312,2.727715484,0.584075366,24.07981407,1.000358685,0.69516141,0.906234976,0.452661651,9.797836589,0.927261351,0.676796363,1.330652519,4.884634107,1.466359297,0.670215943,0.491560492,2.147969454,1.336055059,1.651200813,9.384088082,2.321861791,2.611375767,5.147642501,1.176683086,2.542209766,0.654648563,0.43732757,0.35610741,1.157958674,0.540347254,1.370587837,0.296476611,10.07970004,0.77949424,3.900840433,9.919677441,3.897979015,397.4051776,11.30337548,9.393545934,27.34672155,294.4417056,17.07272611,1.535649766,7.149710238,47.72431214,14.76309641,27.23834713,29.04669781,162.5743365,94.69759284,184.4752353,10.55879742,100.5165873,1.999807469,0.874260634,1.384381848,12.35971758,2.007388898,24.10638061,4.753748778,684.3260836
