mobileauszhGen20,mobileauszhGen19,mobileauszhPho21,mobileauszhGen31,mobileauszhGen34,mobileauszhGen53,mobileauszhGen58,mobileauszhGen60,mobileauszhGen64,mobileauszhGen66,mobileauszhGen75,mobileauszhGen77,mobileauszhGen89,mobileauszhVid93,mobilewuszhPho03,mobilewuszhGen20,mobilewuszhGen19,mobilewuszhPho21,mobilewuszhGen25,mobilewuszhLif30,mobilewuszhGen31,mobilewuszhPho33,mobilewuszhGen34,mobilewuszhGen36,mobilewuszhLif38,mobilewuszhGen39,mobilewuszhBlo40,mobilewuszhGen47,mobilewuszhGen53,mobilewuszhLif55,mobilewuszhBlo56,mobilewuszhGen58,mobilewuszhGen60,mobilewuszhGen64,mobilewuszhGen66,mobilewuszhLif69,mobilewuszhGen75,mobilewuszhGen77,mobilewuszhGen83,mobilewuszhGen89,mobilewuszhBlo90,mobilewuszhVid93,mobilewuszhGam94,mobilewspzhPho03,mobilewspzhGen20,mobilewspzhGen19,mobilewspzhPho21,mobilewspzhGen25,mobilewspzhLif30,mobilewspzhGen31,mobilewspzhPho33,mobilewspzhGen34,mobilewspzhGen36,mobilewspzhLif38,mobilewspzhGen39,mobilewspzhBlo40,mobilewspzhGen47,mobilewspzhGen53,mobilewspzhLif55,mobilewspzhBlo56,mobilewspzhGen58,mobilewspzhGen60,mobilewspzhGen64,mobilewspzhGen66,mobilewspzhLif69,mobilewspzhGen75,mobilewspzhGen77,mobilewspzhGen83,mobilewspzhGen89,mobilewspzhBlo90,mobilewspzhVid93,mobilewspzhGam94
0.360494707,12.30995263,0.559701393,1.39199891,5.049164394,0.542932331,1.30274482,1.154667418,1.611089135,1.580791441,6.309990802,6.29505629,3.090290095,26.18307231,1.651559776,11.3731091,351.8357193,24.30289564,3.395691472,1.63823475,26.62304438,5.372404472,260.8356722,21.06932593,1.027123451,1.864689503,0.568417187,8.747304753,35.49460445,1.014282431,3.000268092,12.61438222,27.2628648,26.9723955,119.1169415,11.37472812,101.7347511,171.3117657,9.917348749,88.16064113,17.53202315,539.912287,3.792855238,0.602042064,0.872547134,8.397972041,1.224997257,0.91443713,0.698507454,1.345200701,0.862769561,4.507566302,1.908871746,0.669186501,0.622695486,0.985619218,0.77830191,1.865004471,0.643467466,2.061680379,1.323494619,2.074919154,4.385172406,1.762940212,1.604737902,3.0765452,7.518546535,0.941542704,4.532694081,0.647444328,8.520606425,0.670020946
0.541422243,13.39356337,0.622120113,1.657805206,5.576373323,1.107379518,1.553713587,1.407721426,1.561148404,1.720900894,6.650303619,8.368571447,3.410137841,25.08273503,1.714449123,12.16007648,386.920991,23.30932413,6.79229531,1.778963555,26.20545303,4.795629304,281.8148205,20.35675709,1.222570085,3.667137389,0.480022676,8.747074617,32.1292963,1.140907509,2.890378954,16.62408184,29.67569356,28.37877049,115.5612023,10.95298437,105.0499703,162.8799588,9.994096473,99.09797626,10.50888499,557.3231597,3.96758957,0.351622101,0.894522955,9.077630938,1.330818886,0.956646077,0.676106858,1.395531031,0.740811833,5.376170622,2.070184324,1.128846088,0.654084485,0.664478334,0.954359398,1.826028481,0.620380116,1.896850947,1.458754419,2.367572813,3.742369447,2.080837316,1.293903189,3.191546902,6.96282115,1.063380009,3.903764275,0.566548328,6.388409345,0.771655223
0.504052159,14.57114093,0.607867082,1.586345423,5.811628849,0.843237552,1.545745231,1.402616893,1.548755602,1.932206629,6.611990241,8.731598831,3.092255438,27.41951936,1.7263969,11.71155953,370.227568,23.24320563,5.386700583,1.811196233,28.08828754,4.881929342,289.3269672,17.52256856,1.17145482,4.755878168,0.633322844,8.270661336,33.79043467,1.328594997,3.747314547,17.90210092,29.74480416,30.0181067,143.2732301,12.51329292,111.1197907,207.0556547,10.45043572,91.2378314,12.2373007,593.0039406,4.36684416,0.437675192,0.82742327,8.000087889,1.128664957,0.925044953,0.627282632,1.352115191,0.747900405,4.674155181,2.07180301,0.757927298,0.63251975,0.758782597,0.860874241,2.245115912,0.57569564,1.990126772,1.347214788,2.079007956,4.561939502,2.033310844,1.458784442,3.106507702,6.782444869,1.027850967,3.647475274,0.70434523,7.162741824,0.661761544
0.386582217,13.37837952,0.748233073,1.221398831,5.352392416,0.727427441,1.291304281,1.13913348,1.379793553,1.528119888,6.276675472,7.966893756,3.026213329,22.65601771,1.722086247,11.29247186,377.0560559,24.13403996,4.535555761,1.575861196,23.83571271,3.696833593,285.7033605,14.1743311,0.863850368,4.090857649,0.313243732,8.717193015,40.12980269,0.722177619,2.230515955,14.08422351,24.52406977,30.4763723,116.2015903,12.79640022,103.1778045,217.1726188,9.83225395,92.54097117,8.399135787,581.0828742,3.676930897,0.443658791,0.748479339,8.780890828,1.480496586,0.892129284,0.610649458,1.307258742,0.843757106,3.898823731,1.937158441,0.824132316,0.609793338,1.058281985,0.892622132,2.182219947,0.560394838,1.723689677,1.299633674,2.13343157,3.119338097,1.929450515,1.285662066,3.010431922,6.187268451,1.065162527,2.457675834,0.429690892,7.102979685,0.749141543
0.495712754,14.87079166,0.561219634,1.19541264,5.469965102,0.627019019,1.417578297,1.261000987,1.617301305,1.496938544,6.202686292,7.664266157,2.907575636,27.33026331,1.824694137,12.02838948,368.2793707,25.17918905,2.537147778,1.710206787,25.76821556,4.095100131,263.6225164,19.1376238,1.069550956,4.095717833,0.582112942,6.867191523,42.40007127,1.486718492,3.433387119,14.94546355,27.56344641,29.09618061,109.6545444,10.93907497,102.3759386,198.6472471,9.726544033,97.95221216,9.294600014,524.3805095,3.823707224,0.376721814,0.603489267,7.455827376,1.234386287,0.7802354,0.536320239,1.177600285,0.639525729,3.694759322,1.873957486,0.66937884,0.529806039,0.924752719,0.724490485,1.877069229,0.492006725,1.661815259,1.167872982,1.539523886,2.934612501,1.803105021,1.282192007,2.725795831,6.038287997,1.105300971,2.196545733,0.607942815,6.271170983,0.648101735
0.484104794,15.96256314,1.440175634,1.10280977,5.438218753,1.148677762,1.356427896,1.202578145,1.444931399,2.299184516,6.463492291,8.317065669,2.736220504,25.2074758,1.783409667,11.77785962,345.9321677,22.81349332,6.194475132,1.654127444,27.54652076,4.598647505,248.1906652,18.68962321,0.936860976,2.966533952,0.484048293,8.019082609,38.87078887,0.905665355,2.508038,15.95700299,26.16281548,33.758178,77.16225775,11.48702014,99.43861825,178.1973998,10.11270576,92.42034666,8.230251128,508.8210801,4.028521602,0.398712099,0.633733891,7.209092254,1.285433513,0.834067494,0.557058726,1.2324626,0.6931733,3.653456559,1.893978957,0.904358402,0.566224672,0.449666889,0.777509011,1.820564577,0.508612337,1.557484733,1.339248133,1.962265096,2.976158497,1.590246699,1.105342617,2.848119232,5.598262718,0.930159898,1.687845087,0.539761276,5.268031196,0.572100097
0.39576911,13.41927015,0.535482294,1.116892668,5.142192688,0.475051099,1.270640712,1.116595704,1.672013296,2.703228459,6.296469436,7.481847226,3.061768318,20.94753449,1.771266125,11.38679943,380.4924766,22.62845501,7.98144038,1.692705768,26.25573624,5.238191212,254.0645398,15.47859391,1.015258163,4.488082513,0.34455026,13.26255145,36.21548978,1.957233847,3.175012766,15.99519243,25.1033002,29.35876233,110.732734,10.25908542,97.8751204,170.9379818,10.12545896,92.6275695,6.902821477,495.6500899,4.178963668,0.252200853,0.631308015,7.453178984,1.24894298,0.760301498,0.582603833,1.152439569,0.64614172,3.768435607,1.764260877,0.723542596,0.51389654,0.752844368,0.776147379,1.475231261,0.534819919,1.336780243,1.191247561,1.92862353,3.178884656,1.59813672,1.221902181,2.666419907,5.178998476,0.993409798,1.761087018,0.433054718,5.755254578,0.569651294
0.521522708,12.01324508,1.405941962,1.330878739,5.452365422,1.006310034,1.451276529,1.304628854,1.452859798,2.572355453,6.923972406,8.559447079,3.097581713,23.47566729,1.616562927,10.96762098,358.5907109,21.48750191,2.403751123,1.675942164,25.81575317,4.900385803,227.7447118,17.74615866,1.055547777,3.105020137,0.495382075,8.840274873,43.80552193,1.255891874,2.654860732,16.09367658,26.85104611,28.50584287,88.00580914,11.31253782,101.0039604,169.6428258,9.917794139,92.99402102,7.438908671,460.1279189,4.139391,0.354287159,0.838815074,8.060259127,1.046254598,0.907125026,0.614997509,1.322777113,0.575828977,4.537320474,1.849479932,0.483258224,0.623835428,1.042137736,0.91341148,1.880017686,0.557776877,1.340899019,1.348663172,2.34730562,2.592774443,1.669746912,1.126461798,3.043223811,5.592850109,1.080062597,2.209055301,0.680411001,6.376673477,0.574335125
0.572737115,14.8865567,0.296805695,1.361130843,5.536495175,0.648375923,1.497896929,1.349668097,1.49551443,2.457752903,6.76460029,8.354298595,3.022579164,26.0611461,2.045751932,10.7209434,378.0829302,26.13430604,8.56369607,1.850805937,26.80137093,5.321319772,243.8098248,15.96870807,1.262280192,3.636604715,0.388844368,7.64387305,39.31490595,1.490865661,3.426299858,15.69144572,28.54219621,31.10641216,104.6127945,11.36421999,104.0295416,179.9579107,10.52005565,94.79369837,7.064951555,507.383678,4.583540832,0.41554559,0.736122752,6.970744444,1.424181905,0.808237578,0.60387132,1.202200151,0.750871538,3.627495259,1.781419506,0.944581161,0.546770031,0.559905355,0.820743834,1.76820046,0.554784134,1.016394227,1.284551306,1.933736713,1.987294109,2.140716646,1.066616684,2.778727404,5.469582242,0.904956336,2.3713206,0.4295143,7.326142193,0.716022486
0.586292858,14.18854067,1.268610036,1.462885008,5.753591249,0.692312224,1.605937417,1.446790765,1.897687467,2.587596498,6.5753437,8.263601094,3.033967049,22.78026163,1.810950089,11.23155465,398.426927,22.31574984,1.432096597,1.749859388,27.57641952,4.385181244,268.3089344,21.87201814,1.1626393,3.508327829,0.435980211,6.623545408,40.73016489,0.949187995,2.74088074,15.96828915,30.44808731,31.69751038,105.65227,12.24968708,105.6864964,193.6648075,10.99497553,100.4487884,6.751423444,510.7410042,4.062363577,0.503900298,0.874665066,9.028890554,1.087604269,0.944516572,0.609126241,1.368396147,0.666304435,4.216823933,1.917207433,0.763283646,0.650845499,0.807520892,0.799477414,1.988339204,0.557150301,0.976912885,1.527635205,1.826787966,3.103526525,1.766211799,1.151988928,3.135731153,5.612364918,1.111451587,3.193042536,0.639270639,7.650529135,0.852698231
0.489224182,15.75589175,0.904901592,1.419348265,5.48019141,0.535245359,1.493121826,1.32869738,1.487366408,3.125058028,6.453403758,8.258815754,3.088361924,25.9664901,1.915833298,11.24482591,367.1742948,24.61648891,8.620348605,1.631870708,28.51945813,4.311693259,281.9076499,23.52186541,0.994578257,3.637926949,0.375498517,6.658766023,44.64126232,1.472890724,3.343341733,15.77749678,32.56871702,34.47871363,106.4012296,11.79241819,104.4244835,197.507592,10.37184485,100.445751,8.124833496,510.1274869,3.818881495,0.697172709,0.874358705,9.594825586,1.477267864,0.929352255,0.581475291,1.340515972,0.83517658,4.580663929,1.804416158,0.830289491,0.633357185,1.076697875,0.879118594,2.119495502,0.570960488,0.957612674,1.577489503,2.190246771,3.728815438,2.218605885,1.101237732,3.079576538,5.896016957,1.095433179,2.876182678,0.599464178,9.353534185,0.658404016
0.427116779,14.34234895,0.947971842,1.346079354,5.309390371,0.736866802,1.83433647,1.269543161,1.799698977,2.311480662,6.545589996,7.969198326,2.972416821,20.55170581,1.639990997,10.71080332,377.6169296,23.53131288,0.971891605,1.615090782,26.34785098,4.214307852,251.99476,14.88228416,1.001304578,4.935755668,0.449030688,5.046268737,36.59235593,0.882101198,3.121469107,16.29270335,30.65478989,34.41368569,84.78680765,9.796752967,105.9823959,177.3719237,11.07714402,89.88184969,8.156381466,494.6078922,3.60207108,0.430656782,0.905646291,8.655375824,1.355050259,0.982509908,0.66783875,1.405968071,0.798123905,4.833991527,1.926286409,0.766800659,0.670901757,1.135219644,0.936233307,2.05946699,0.571243159,1.001602413,1.719425375,2.352059335,3.887006093,2.100756807,1.151287576,3.216573418,5.422589825,1.018019926,2.52308192,0.906508434,9.71300552,0.782421025
0.406520292,16.63026374,0.988817456,1.348153861,5.466428765,0.33267438,1.426060685,1.267536919,1.568323924,1.884471999,6.363497821,8.417469803,2.806795723,18.43920632,1.925475992,10.15528162,348.4755815,23.88057138,6.439853172,1.759702428,25.68936925,5.14528766,248.6873403,22.74484384,1.169252214,3.507326939,0.377171439,9.600412173,43.95225576,1.339482669,3.142519577,15.92221167,31.1639659,29.35327927,96.3906682,9.647209379,103.0593434,180.9440615,10.51018748,89.78637133,7.6515261,433.5862376,4.263855486,0.365227403,0.675604294,7.787387508,1.224765818,0.735799252,0.546961905,1.12534719,0.616730742,3.779420273,1.615614187,0.747155182,0.488620303,0.652374878,0.704888,1.609773932,0.504511306,0.5707383,1.543088802,1.448051337,1.70463294,1.802923593,1.009820826,2.612060351,4.688421184,0.957670126,2.368369541,0.444349475,9.849456782,0.53769382
0.390520597,13.50921358,0.713699288,1.311006019,5.336874011,0.430916757,1.898207172,1.175663593,1.467154672,1.782039364,6.065384348,7.364398821,3.720172126,18.89709039,1.834744458,9.589350019,327.2130373,24.4348035,1.78424042,1.631450975,26.42696152,5.769886172,232.1698976,25.58719931,1.027010042,2.614910545,0.305359836,6.078327753,40.31852947,0.804081711,2.734280864,18.1540798,28.53941603,27.57959513,86.42922188,10.02572238,103.0363381,178.9922078,9.944454202,97.97723962,7.087098237,451.3875744,3.668787012,0.356008482,0.646148674,6.696626424,1.076167205,0.727878359,0.5317911,1.115469616,0.645256125,3.372387717,1.579211849,0.585355658,0.482920509,1.056814001,0.697288287,1.503246414,0.487551908,0.620112875,1.423083532,1.972770087,1.50798425,1.807754829,1.122015591,2.590130618,5.011847215,0.827105584,2.025308193,0.441246976,11.26160213,0.533192899
0.416839405,14.62083529,0.83913224,1.499216764,5.428451916,0.547417384,1.990408854,1.265235883,1.561584897,2.353148131,6.124728695,7.927231095,2.840262044,20.99700081,1.842936861,9.523347336,352.3244678,24.55375475,4.524478456,1.79176997,27.42506175,6.090825594,223.3620414,22.67439582,1.109186594,3.967753022,0.505116481,7.764519292,37.98813082,1.446624829,3.232351274,16.7440159,28.66686998,32.80919158,103.5255003,11.02783266,106.5881354,158.932389,9.849562793,94.86362591,8.582547233,426.4738708,4.264293046,0.342271452,0.656842645,5.66047658,1.037641603,0.735139526,0.523634269,1.125753909,0.582876501,2.872008682,1.612549783,0.439756273,0.488442894,0.74644137,0.704262885,1.293460105,0.645068271,0.574339932,1.398339634,1.621275906,1.207564425,1.585647709,0.955754825,2.619259165,4.769522198,0.772304473,1.751142233,0.548781156,9.549148589,0.516089087
0.567541783,12.68434111,0.976586379,1.541943121,5.614170492,1.190147269,1.716611445,1.367732526,1.666942392,2.725760135,6.139852462,8.006904873,2.79044625,22.50644929,1.883501333,10.57535296,336.7049067,24.31400558,6.917779738,1.703213899,26.93294703,5.711251667,243.1116347,22.1574591,1.013249663,3.496007005,0.583897232,8.58427278,35.76398082,1.565671184,3.307300978,15.00679654,28.95935492,34.38208823,106.9332273,11.31167445,104.3334356,171.5330592,10.85341157,96.52306376,10.48552836,506.7874257,4.217573267,0.252821501,0.758327263,5.206992226,1.174252545,0.834346993,0.500350806,1.238542358,0.654269069,3.296034641,1.618228567,0.558253545,0.561913744,1.143024545,0.802113481,1.235762032,0.465078774,0.53014765,1.386493939,2.038872585,1.997587059,2.261152915,0.801488612,2.882331265,4.74533815,0.99869932,2.672233533,0.632145904,10.0305773,0.534061455
0.682242145,14.68279302,0.702803984,1.458542065,5.879650847,0.859736306,2.119278628,1.430987056,1.723104803,2.587087443,6.155736848,8.189802308,3.076200292,22.97949416,2.051682234,10.68791145,347.8446658,26.56365505,5.036782908,1.735575812,29.78914489,4.75084466,276.7370178,18.52658447,1.124776782,4.833538636,0.633858371,8.319106173,45.35251967,1.058460906,3.460574988,14.10455869,26.93794392,30.60555461,118.4571942,11.7164796,108.4859797,183.7119192,10.35256168,101.351394,8.799885492,546.9905872,4.325388581,0.201824975,0.772055842,6.091862605,1.338453312,0.865089383,0.549806283,1.275570947,0.76923084,3.320409025,1.522585751,0.485004123,0.58738012,0.787337281,0.831596992,1.392132465,0.513693632,0.47696306,1.619028768,1.660703436,1.498430457,1.756691429,0.791044821,2.964620745,4.896530468,1.037764917,2.287087288,0.676342452,9.075238353,0.717872857
0.574437845,14.48909152,0.942470503,1.114382005,5.559994473,1.208471465,1.802338469,1.219605797,1.502740614,1.929015082,5.851711297,7.132429551,2.58600752,18.62253891,1.848823476,11.0316463,348.2029045,24.68731783,2.655167669,1.654103598,28.48317013,3.511791092,267.4572117,16.62678825,1.069604348,3.492429715,0.553260101,7.119915771,37.41627964,1.611315383,2.995474108,14.58181232,24.66671061,29.44089466,113.0035432,10.43671254,108.7796653,165.069175,10.68818409,97.53476747,9.967540824,450.6987949,4.043593802,0.439938059,0.710107069,5.884816622,1.397685231,0.796193131,0.591496911,1.195992345,0.732113146,3.326569935,1.592347128,0.585627241,0.536619421,0.984638864,0.765506789,1.393755603,0.555114379,0.336603103,1.373591243,2.839637741,2.528177487,1.644788047,0.951521908,2.801352829,4.048595051,0.836584766,1.572708525,0.567187475,8.78937764,0.54106453
